x,y,is_goal,Assisted,IndividualPlay,RegularPlay,LeftFoot,RightFoot,FromCorner,FirstTouch,Head,BigChance,SetPiece,Volley,FastBreak,ThrowinSetPiece,Penalty,OneOnOne,KeyPass,OtherBodyPart,shot_distance,period_FirstHalf,period_SecondHalf,Zone_Back,Zone_Center,Zone_Left,Zone_Right
80.3,34.9,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,24.82136176763878,True,False,False,True,False,False
89.6,60.7,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,14.92146105446783,False,True,False,True,False,False
92.7,65.1,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,16.77200047698544,False,True,False,True,False,False
73.6,45.1,False,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,26.850884529191962,False,True,False,True,False,False
82.7,46.8,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,17.593464695732898,False,True,False,True,False,False
88.8,52.2,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,11.414026458704225,False,True,False,True,False,False
67.5,70.1,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,38.21334845312564,False,True,False,True,False,False
95.1,32.8,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,17.88435070110179,False,True,False,True,False,False
90.8,39.5,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,13.96030085635693,False,True,False,True,False,False
88.5,56.7,True,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,13.309395177843358,False,True,False,True,False,False
75.0,55.6,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,25.61952380509833,True,False,False,True,False,False
91.9,47.7,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,8.420213774008348,True,False,False,True,False,False
91.9,55.5,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,9.790812019439446,True,False,False,True,False,False
76.9,55.4,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,23.722773868163053,True,False,False,True,False,False
77.2,42.7,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,23.940133667128926,True,False,False,True,False,False
86.9,67.0,True,False,True,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,21.461826576505548,True,False,False,True,False,False
92.0,56.2,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,10.121264743103998,True,False,False,True,False,False
90.0,48.6,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,10.09752444909147,True,False,False,True,False,False
90.5,42.5,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,12.103718436910205,True,False,False,True,False,False
